Alabama,2002,380805,499453,2812905,6,27,49,16.556,54.892,17.513
Alaska,2002,69400,62791,368460,2,5,5,24.4,83.68,13.838
Arizona,2002,485521,602265,3329482,16,51,86,32.411,85.3,25.683
Arkansas,2002,232986,302029,1687337,4,18,26,18.643,60.5,15.187
California,2002,3140739,3919577,21392421,53,259,410,16.995,66.052,19.184
Colorado,2002,385648,493921,2798960,10,51,83,26.412,102.912,29.573
Connecticut,2002,295157,323120,2235763,5,23,33,18.187,70.237,14.561
Delaware,2002,66477,88388,514059,1,7,11,16.101,73.802,21.171
District of Columbia,2002,33192,73655,372907,0,3,14,6.466,45.477,36.467
Florida,2002,1346297,1576278,11066322,26,108,220,19.419,68.276,19.887
Georgia,2002,748467,945489,5202846,13,50,108,16.771,52.588,20.79
Hawaii,2002,103803,122789,761280,2,7,9,17.017,55.153,11.654
Idaho,2002,128028,164566,794611,2,8,7,17.981,50.265,9.184
Illinois,2002,1082396,1380990,7825956,18,90,143,16.724,65.3,18.222
Indiana,2002,541577,704733,3788500,11,51,68,19.954,71.972,18
Iowa,2002,246347,351217,1847207,5,23,27,21.778,64.252,14.352
Kansas,2002,241178,319425,1645149,4,20,24,17.971,63.062,14.814
Kentucky,2002,327727,454574,2605898,7,30,50,20.456,65.857,19.306
Louisiana,2002,406965,537725,2668243,7,29,65,16.527,53.771,24.229
Maine,2002,108861,130511,869560,2,11,13,21.845,80.46,14.597
Maryland,2002,476696,536352,3466746,7,26,59,13.767,47.993,17.012
Massachusetts,2002,508325,672543,4201348,10,53,90,20.544,78.83,21.372
Michigan,2002,895753,1091376,6298792,19,68,128,20.767,62.648,20.267
Minnesota,2002,446545,572795,3154577,10,43,52,23.487,74.652,16.353
Mississippi,2002,257508,347410,1704672,3,15,30,11.802,41.753,17.535
Missouri,2002,491394,628542,3550250,10,45,80,20.329,71.861,22.654
Montana,2002,81697,103338,578710,2,8,9,25.136,72.961,16.165
Nebraska,2002,152465,204600,1058402,3,12,15,21.607,57.19,14.15
Nevada,2002,184670,215631,1379759,4,16,23,19.736,73.462,16.556
New Hampshire,2002,113457,129505,830689,3,13,16,26.646,101.698,18.944
New Jersey,2002,719658,791085,5586200,13,51,95,17.752,64.93,17.093
New Mexico,2002,176611,210636,1122984,5,21,20,28.077,100.343,18.141
New York,2002,1562426,2036478,12316861,22,141,248,14.14,69.253,20.154
North Carolina,2002,685632,875677,5204654,13,56,95,19.19,64.221,18.301
North Dakota,2002,54387,82312,389658,1,5,4,19.538,59.386,10.963
Ohio,2002,987986,1231294,7182193,17,86,135,16.917,69.882,18.828
Oklahoma,2002,302673,411137,2120890,6,25,27,18.575,59.92,12.731
Oregon,2002,297076,385140,2261755,6,28,39,19.104,72.46,17.076
Pennsylvania,2002,1028108,1290045,8009346,15,85,144,14.852,66.223,17.926
Rhode Island,2002,85295,126228,688500,2,15,17,20.978,120.488,24.973
South Carolina,2002,345629,458404,2574050,6,29,54,17.079,63.574,21.131
South Dakota,2002,69742,90990,459901,2,5,5,24.051,54.908,11.02
Tennessee,2002,473558,621828,3699537,9,38,66,18.46,60.755,17.968
Texas,2002,2018953,2512206,12788834,52,167,203,25.834,66.628,15.841
Utah,2002,229447,360378,1222045,3,17,15,15.171,47.791,12.122
Vermont,2002,53924,69851,403822,2,7,7,28.093,97.309,18.466
Virginia,2002,607438,739131,4560096,10,41,81,17.184,55.191,17.813
