Alabama,2002,380805,499453,2812905,20,18,2,59.732,62.325,0.914,24,62,73,63.662,124.672,25.967,49,119,141,127.535,237.88,50.275
Alaska,2002,69400,62791,368460,4,2,0,77.736,84.25,1.625,8,15,26,110.781,239.907,71.362,13,24,46,188.73,389.026,124.566
Arizona,2002,485521,602265,3329482,25,18,3,64.179,60.101,1.364,38,91,122,77.371,151.78,36.657,82,166,215,169.646,275.435,64.64
Arkansas,2002,232986,302029,1687337,13,10,1,66.71,71.089,0.991,19,50,57,79.67,164.807,33.891,37,87,104,157.567,288.856,61.51
California,2002,3140739,3919577,21392421,158,126,17,58.786,62.674,1.437,241,631,978,76.595,160.916,45.736,443,1109,1670,141.067,282.887,78.068
Colorado,2002,385648,493921,2798960,23,16,3,75.936,81.015,1.986,38,107,168,98.228,216.673,60.119,75,181,300,195.456,365.715,107.298
Connecticut,2002,295157,323120,2235763,20,11,2,83.099,82.243,1.34,27,76,94,92.197,236.209,42.218,52,125,158,175.776,388.189,70.859
Delaware,2002,66477,88388,514059,4,3,0,79.415,72.098,1.161,6,19,20,94.062,220.55,39.56,12,29,36,181.989,332.364,70.945
District of Columbia,2002,33192,73655,372907,2,3,0,68.901,81.651,1.692,2,18,26,74.326,241.396,69.323,5,28,40,148.342,376.138,106.759
Florida,2002,1346297,1576278,11066322,77,52,8,67.541,64.396,1.167,115,279,526,85.194,176.802,47.513,217,470,900,161.342,298.324,81.349
Georgia,2002,748467,945489,5202846,40,26,4,59.333,47.582,1.259,51,123,165,68.659,130.115,31.782,106,226,331,142.048,238.536,63.636
Hawaii,2002,103803,122789,761280,6,5,0,70.172,89.015,0.719,11,21,37,102.273,169.993,49.01,19,37,59,180.861,302.008,77.044
Idaho,2002,128028,164566,794611,7,5,1,63.64,54.264,1.324,10,21,25,79.185,124.741,31.031,19,40,42,146.283,243.653,52.747
Illinois,2002,1082396,1380990,7825956,58,46,5,62.369,68.658,1.266,82,241,253,76.09,174.317,32.348,156,409,462,144.562,296.121,58.985
Indiana,2002,541577,704733,3788500,25,24,4,54.761,75.355,1.268,40,121,148,73.669,171.92,39.114,76,200,245,139.502,284.4,64.789
Iowa,2002,246347,351217,1847207,12,14,1,53.682,71.458,1.062,17,46,56,71.008,131.444,30.436,33,91,104,133.929,258.775,56.274
Kansas,2002,241178,319425,1645149,11,12,1,51.272,76.829,1.083,18,44,46,73.894,139.181,27.944,32,81,87,132.367,254.418,52.901
Kentucky,2002,327727,454574,2605898,19,13,2,69.493,62.944,1.165,27,64,99,81.571,141.548,38.175,53,119,177,163.226,262.076,67.751
Louisiana,2002,406965,537725,2668243,20,21,2,56.358,79.103,0.922,28,92,89,69.216,170.381,33.271,53,148,154,130.157,275.17,57.805
Maine,2002,108861,130511,869560,8,5,1,83.056,103.52,1.254,11,30,46,105.597,232.175,53.34,20,49,68,187.569,373.413,77.963
Maryland,2002,476696,536352,3466746,28,19,3,66.743,71.553,1.289,38,104,113,78.684,194.34,32.664,70,163,237,147.458,303.073,68.399
Massachusetts,2002,508325,672543,4201348,31,22,3,77.447,81.665,1.578,54,165,201,105.302,245.414,47.945,102,257,472,201.511,381.879,112.412
Michigan,2002,895753,1091376,6298792,51,39,4,67.834,76.569,1.363,83,202,312,92.345,184.877,49.524,153,353,539,170.32,323.818,85.498
Minnesota,2002,446545,572795,3154577,26,19,3,68.649,71.466,1.477,40,100,126,89.218,174.902,39.95,77,174,225,173.02,303.352,71.283
Mississippi,2002,257508,347410,1704672,11,11,1,45.486,53.306,0.893,16,45,47,60.446,129.855,27.446,28,77,80,110.088,220.615,46.78
