State,Year,Population.12-17
Alabama,2002,380805
Alaska,2002,69400
Arizona,2002,485521
Arkansas,2002,232986
California,2002,3140739
Colorado,2002,385648
Connecticut,2002,295157
Delaware,2002,66477
District of Columbia,2002,33192
Florida,2002,1346297
Georgia,2002,748467
Hawaii,2002,103803
Idaho,2002,128028
Illinois,2002,1082396
Indiana,2002,541577
Iowa,2002,246347
Kansas,2002,241178
Kentucky,2002,327727
Louisiana,2002,406965
Maine,2002,108861
Maryland,2002,476696
Massachusetts,2002,508325
Michigan,2002,895753
Minnesota,2002,446545
Mississippi,2002,257508
Missouri,2002,491394
Montana,2002,81697
Nebraska,2002,152465
Nevada,2002,184670
New Hampshire,2002,113457
New Jersey,2002,719658
New Mexico,2002,176611
New York,2002,1562426
North Carolina,2002,685632
North Dakota,2002,54387
Ohio,2002,987986
Oklahoma,2002,302673
Oregon,2002,297076
Pennsylvania,2002,1028108
Rhode Island,2002,85295
South Carolina,2002,345629
South Dakota,2002,69742
Tennessee,2002,473558
Texas,2002,2018953
Utah,2002,229447
Vermont,2002,53924
Virginia,2002,607438
Washington,2002,528622
West Virginia,2002,139163
Wisconsin,2002,482686
Wyoming,2002,45377
Alabama,2003,381563
Alaska,2003,68492
Arizona,2003,498693
Arkansas,2003,233184
California,2003,3209345
Colorado,2003,388793
Connecticut,2003,295229
Delaware,2003,67658
District of Columbia,2003,33384
Florida,2003,1376459
Georgia,2003,763519
Hawaii,2003,100549
Idaho,2003,127839
Illinois,2003,1089901
Indiana,2003,546518
Iowa,2003,243608
Kansas,2003,237856
Kentucky,2003,336908
Louisiana,2003,403315
Maine,2003,109954
Maryland,2003,485901
Massachusetts,2003,512838
Michigan,2003,902553
Minnesota,2003,442828
Mississippi,2003,256982
Missouri,2003,490972
Montana,2003,79960
Nebraska,2003,150669
Nevada,2003,192336
New Hampshire,2003,114731
New Jersey,2003,733853
New Mexico,2003,175489
New York,2003,1571709
North Carolina,2003,701982
North Dakota,2003,52643
Ohio,2003,983181
Oklahoma,2003,296942
Oregon,2003,297247
Pennsylvania,2003,1034227
Rhode Island,2003,87330
South Carolina,2003,356468
South Dakota,2003,68362
Tennessee,2003,475614
Texas,2003,2038642
Utah,2003,229590
Vermont,2003,53561
Virginia,2003,617003
Washington,2003,527419
West Virginia,2003,138269
Wisconsin,2003,478926
Wyoming,2003,43883
Alabama,2004,380150
Alaska,2004,68162
Arizona,2004,510698
Arkansas,2004,232095
California,2004,3290671
Colorado,2004,392822
Connecticut,2004,299013
Delaware,2004,67454
District of Columbia,2004,34350
Florida,2004,1404055
Georgia,2004,775954
Hawaii,2004,100585
Idaho,2004,127552
Illinois,2004,1099965
Indiana,2004,549720
Iowa,2004,240059
Kansas,2004,233656
Kentucky,2004,336219
Louisiana,2004,398611
Maine,2004,108414
Maryland,2004,492847
Massachusetts,2004,511301
Michigan,2004,907902
Minnesota,2004,437674
Mississippi,2004,255659
Missouri,2004,486907
Montana,2004,77617
Nebraska,2004,148189
Nevada,2004,201110
New Hampshire,2004,115243
New Jersey,2004,745809
New Mexico,2004,173285
New York,2004,1584677
North Carolina,2004,715542
North Dakota,2004,50426
Ohio,2004,980119
Oklahoma,2004,292067
Oregon,2004,297935
Pennsylvania,2004,1035623
Rhode Island,2004,88122
South Carolina,2004,358954
South Dakota,2004,66529
Tennessee,2004,477163
Texas,2004,2052845
Utah,2004,226903
Vermont,2004,52660
Virginia,2004,622210
Washington,2004,527538
West Virginia,2004,136919
Wisconsin,2004,472397
Wyoming,2004,42257
Alabama,2005,384026
Alaska,2005,66349
Arizona,2005,522702
Arkansas,2005,233328
California,2005,3293484
Colorado,2005,389561
Connecticut,2005,299315
Delaware,2005,69102
District of Columbia,2005,36509
Florida,2005,1405376
Georgia,2005,800536
Hawaii,2005,101214
Idaho,2005,130072
Illinois,2005,1100792
Indiana,2005,546441
Iowa,2005,244036
Kansas,2005,234307
Kentucky,2005,339347
Louisiana,2005,385359
Maine,2005,107149
Maryland,2005,488407
Massachusetts,2005,510948
Michigan,2005,901407
Minnesota,2005,437254
Mississippi,2005,257913
Missouri,2005,490572
Montana,2005,77917
Nebraska,2005,148761
Nevada,2005,206623
New Hampshire,2005,113655
New Jersey,2005,741478
New Mexico,2005,173970
New York,2005,1587906
North Carolina,2005,723206
North Dakota,2005,50524
Ohio,2005,977997
Oklahoma,2005,295821
Oregon,2005,297574
Pennsylvania,2005,1029986
Rhode Island,2005,87162
South Carolina,2005,361860
South Dakota,2005,66214
Tennessee,2005,486247
Texas,2005,2083455
Utah,2005,233270
Vermont,2005,51757
Virginia,2005,621149
Washington,2005,532240
West Virginia,2005,136941
Wisconsin,2005,469879
Wyoming,2005,42307
Alabama,2006,386639
Alaska,2006,64383
Arizona,2006,531706
Arkansas,2006,234358
California,2006,3251070
Colorado,2006,387286
Connecticut,2006,296415
Delaware,2006,70333
District of Columbia,2006,37965
Florida,2006,1389340
Georgia,2006,822659
Hawaii,2006,99465
Idaho,2006,132866
Illinois,2006,1094265
Indiana,2006,539431
Iowa,2006,248086
Kansas,2006,235408
Kentucky,2006,341772
Louisiana,2006,372138
Maine,2006,105652
Maryland,2006,478466
Massachusetts,2006,510890
Michigan,2006,888059
Minnesota,2006,436903
Mississippi,2006,259663
Missouri,2006,494026
Montana,2006,79003
Nebraska,2006,149456
Nevada,2006,211067
New Hampshire,2006,111310
New Jersey,2006,727090
New Mexico,2006,172181
New York,2006,1579916
North Carolina,2006,728599
North Dakota,2006,50947
Ohio,2006,971766
Oklahoma,2006,299621
Oregon,2006,297325
Pennsylvania,2006,1018244
Rhode Island,2006,85339
South Carolina,2006,362886
South Dakota,2006,66722
Tennessee,2006,496587
Texas,2006,2105817
Utah,2006,243193
Vermont,2006,50946
Virginia,2006,617354
Washington,2006,534929
West Virginia,2006,136317
Wisconsin,2006,467728
Wyoming,2006,42925
Alabama,2007,383012
Alaska,2007,62685
Arizona,2007,537098
Arkansas,2007,232677
California,2007,3209102
Colorado,2007,387018
Connecticut,2007,292219
Delaware,2007,69899
District of Columbia,2007,37001
Florida,2007,1368710
Georgia,2007,824664
Hawaii,2007,95794
Idaho,2007,132932
Illinois,2007,1082534
Indiana,2007,535015
Iowa,2007,244378
Kansas,2007,232244
Kentucky,2007,339631
Louisiana,2007,370852
Maine,2007,102760
Maryland,2007,469557
Massachusetts,2007,506225
Michigan,2007,869168
Minnesota,2007,429517
Mississippi,2007,256834
Missouri,2007,488564
Montana,2007,78003
Nebraska,2007,147219
Nevada,2007,213693
New Hampshire,2007,109279
New Jersey,2007,715118
New Mexico,2007,167079
New York,2007,1559314
North Carolina,2007,730031
North Dakota,2007,49767
Ohio,2007,956958
Oklahoma,2007,295908
Oregon,2007,295639
Pennsylvania,2007,998611
Rhode Island,2007,83372
South Carolina,2007,359862
South Dakota,2007,66089
Tennessee,2007,496878
Texas,2007,2107904
Utah,2007,248473
Vermont,2007,49626
Virginia,2007,612162
Washington,2007,528584
West Virginia,2007,134149
Wisconsin,2007,460365
Wyoming,2007,42535
Alabama,2008,379377
Alaska,2008,60678
Arizona,2008,538865
Arkansas,2008,231516
California,2008,3147890
Colorado,2008,384709
Connecticut,2008,287870
Delaware,2008,68911
District of Columbia,2008,35726
Florida,2008,1348640
Georgia,2008,822696
Hawaii,2008,93198
Idaho,2008,132962
Illinois,2008,1065750
Indiana,2008,529845
Iowa,2008,240105
Kansas,2008,229136
Kentucky,2008,336896
Louisiana,2008,370950
Maine,2008,99629
Maryland,2008,459954
Massachusetts,2008,498720
Michigan,2008,842712
Minnesota,2008,421196
Mississippi,2008,252527
Missouri,2008,482442
Montana,2008,76196
Nebraska,2008,144863
Nevada,2008,214026
New Hampshire,2008,106508
New Jersey,2008,702953
New Mexico,2008,163513
New York,2008,1535172
North Carolina,2008,727969
North Dakota,2008,48559
Ohio,2008,939669
Oklahoma,2008,293240
Oregon,2008,292301
Pennsylvania,2008,980441
Rhode Island,2008,81128
South Carolina,2008,356186
South Dakota,2008,64983
Tennessee,2008,494043
Texas,2008,2113980
Utah,2008,252460
Vermont,2008,47705
Virginia,2008,604833
Washington,2008,522369
West Virginia,2008,132189
Wisconsin,2008,450304
Wyoming,2008,42168
Alabama,2009,375942
Alaska,2009,58753
Arizona,2009,538672
Arkansas,2009,231881
California,2009,3101979
Colorado,2009,381533
Connecticut,2009,283906
Delaware,2009,67805
District of Columbia,2009,34683
Florida,2009,1336737
Georgia,2009,820145
Hawaii,2009,91104
Idaho,2009,131965
Illinois,2009,1053276
Indiana,2009,525525
Iowa,2009,236022
Kansas,2009,226545
Kentucky,2009,334420
Louisiana,2009,367519
Maine,2009,96374
Maryland,2009,452038
Massachusetts,2009,494016
Michigan,2009,822105
Minnesota,2009,413410
Mississippi,2009,248816
Missouri,2009,476436
Montana,2009,73735
Nebraska,2009,142549
Nevada,2009,212438
New Hampshire,2009,103281
New Jersey,2009,695052
New Mexico,2009,161555
New York,2009,1509858
North Carolina,2009,723670
North Dakota,2009,47211
Ohio,2009,924820
Oklahoma,2009,292084
Oregon,2009,288096
Pennsylvania,2009,962444
Rhode Island,2009,79655
South Carolina,2009,352096
South Dakota,2009,63682
Tennessee,2009,491069
Texas,2009,2125058
Utah,2009,254680
Vermont,2009,45631
Virginia,2009,598313
Washington,2009,516464
West Virginia,2009,130503
Wisconsin,2009,440921
Wyoming,2009,41288
Alabama,2010,386718
Alaska,2010,61192
Arizona,2010,535234
Arkansas,2010,234810
California,2010,3195149
Colorado,2010,395318
