State,Year,Population.12-17
Alabama,2002,380805
Alaska,2002,69400
Arizona,2002,485521
Arkansas,2002,232986
California,2002,3140739
Colorado,2002,385648
Connecticut,2002,295157
Delaware,2002,66477
District of Columbia,2002,33192
Florida,2002,1346297
Georgia,2002,748467
Hawaii,2002,103803
Idaho,2002,128028
Illinois,2002,1082396
Indiana,2002,541577
Iowa,2002,246347
Kansas,2002,241178
Kentucky,2002,327727
Louisiana,2002,406965
Maine,2002,108861
Maryland,2002,476696
Massachusetts,2002,508325
Michigan,2002,895753
Minnesota,2002,446545
Mississippi,2002,257508
Missouri,2002,491394
Montana,2002,81697
Nebraska,2002,152465
Nevada,2002,184670
New Hampshire,2002,113457
New Jersey,2002,719658
New Mexico,2002,176611
New York,2002,1562426
North Carolina,2002,685632
North Dakota,2002,54387
Ohio,2002,987986
Oklahoma,2002,302673
Oregon,2002,297076
Pennsylvania,2002,1028108
Rhode Island,2002,85295
South Carolina,2002,345629
South Dakota,2002,69742
Tennessee,2002,473558
Texas,2002,2018953
Utah,2002,229447
Vermont,2002,53924
Virginia,2002,607438
Washington,2002,528622
West Virginia,2002,139163
Wisconsin,2002,482686
Wyoming,2002,45377
Alabama,2003,381563
Alaska,2003,68492
Arizona,2003,498693
Arkansas,2003,233184
California,2003,3209345
Colorado,2003,388793
Connecticut,2003,295229
Delaware,2003,67658
District of Columbia,2003,33384
Florida,2003,1376459
Georgia,2003,763519
Hawaii,2003,100549
Idaho,2003,127839
Illinois,2003,1089901
Indiana,2003,546518
Iowa,2003,243608
Kansas,2003,237856
Kentucky,2003,336908
Louisiana,2003,403315
Maine,2003,109954
Maryland,2003,485901
Massachusetts,2003,512838
Michigan,2003,902553
Minnesota,2003,442828
Mississippi,2003,256982
Missouri,2003,490972
Montana,2003,79960
Nebraska,2003,150669
Nevada,2003,192336
New Hampshire,2003,114731
New Jersey,2003,733853
New Mexico,2003,175489
New York,2003,1571709
North Carolina,2003,701982
North Dakota,2003,52643
Ohio,2003,983181
Oklahoma,2003,296942
Oregon,2003,297247
Pennsylvania,2003,1034227
Rhode Island,2003,87330
South Carolina,2003,356468
South Dakota,2003,68362
Tennessee,2003,475614
Texas,2003,2038642
Utah,2003,229590
Vermont,2003,53561
Virginia,2003,617003
Washington,2003,527419
West Virginia,2003,138269
Wisconsin,2003,478926
Wyoming,2003,43883
