Alabama,2002,380805,499453,2812905,52,196,728,136.906,392.404,258.844,63,226,930,166.578,451.976,330.659
Alaska,2002,69400,62791,368460,9,28,92,132.517,439.749,249.578,11,30,112,163.918,484.27,304.22
Arizona,2002,485521,602265,3329482,62,234,919,128.357,388.473,275.99,73,240,1032,151.071,397.968,309.969
Arkansas,2002,232986,302029,1687337,37,154,539,160.479,509.682,319.224,46,169,660,195.714,558.846,391.21
California,2002,3140739,3919577,21392421,235,1245,4028,74.824,317.661,188.269,290,1377,4721,92.235,351.353,220.699
Colorado,2002,385648,493921,2798960,53,220,712,137.437,445.605,254.318,67,247,836,174.446,499.545,298.565
Connecticut,2002,295157,323120,2235763,40,134,504,134.487,415.563,225.643,45,149,578,151.937,461.399,258.6
Delaware,2002,66477,88388,514059,9,38,127,140.664,426.917,247.854,11,41,146,163.023,464.75,283.159
District of Columbia,2002,33192,73655,372907,2,24,98,70.956,332.627,263.999,3,28,109,95.288,373.867,293.435
Florida,2002,1346297,1576278,11066322,165,579,2610,122.611,367.507,235.882,193,655,3089,143.359,415.541,279.116
Georgia,2002,748467,945489,5202846,96,335,1348,128.338,354.795,259.056,118,395,1617,157.931,417.44,310.698
Hawaii,2002,103803,122789,761280,9,42,166,87.795,343.201,217.747,13,45,186,123.329,365.9,243.703
Idaho,2002,128028,164566,794611,16,64,180,124.806,390.162,226.765,19,71,216,146.953,430.815,271.341
Illinois,2002,1082396,1380990,7825956,141,590,2023,130.005,427.52,258.512,162,645,2373,149.729,466.831,303.276
Indiana,2002,541577,704733,3788500,78,317,1033,143.895,449.388,272.616,91,347,1228,168.401,492.962,324.224
Iowa,2002,246347,351217,1847207,35,147,464,142.729,419.108,251.356,40,171,544,163.386,486.748,294.414
Kansas,2002,241178,319425,1645149,34,127,412,139.526,396.242,250.627,38,146,506,155.676,456.805,307.314
Kentucky,2002,327727,454574,2605898,58,241,879,176.225,530.579,337.387,76,268,1004,231.77,588.839,385.381
Louisiana,2002,406965,537725,2668243,61,228,732,150.078,423.585,274.469,72,259,850,175.791,482.136,318.712
Maine,2002,108861,130511,869560,13,57,227,121.629,438.887,260.988,15,66,267,135.548,504.427,306.937
Maryland,2002,476696,536352,3466746,53,193,793,110.805,359.135,228.843,61,226,928,127.003,420.454,267.636
Massachusetts,2002,508325,672543,4201348,59,258,889,116.936,383.966,211.581,73,286,1045,143.674,425.295,248.799
Michigan,2002,895753,1091376,6298792,122,467,1747,135.937,428.101,277.355,142,520,2036,158.902,476.4,323.166
Minnesota,2002,446545,572795,3154577,70,276,776,156.694,482.232,245.859,79,294,939,176.944,513.143,297.813
Mississippi,2002,257508,347410,1704672,33,144,502,128.348,415.653,294.637,43,166,611,165.7,477.678,358.719
Missouri,2002,491394,628542,3550250,88,299,1085,178.76,475.865,305.597,103,325,1285,210.137,517.593,361.885
Montana,2002,81697,103338,578710,13,46,152,161.031,449.585,262.598,17,56,188,211.585,537.626,325.15
Nebraska,2002,152465,204600,1058402,25,90,252,163.61,439.225,238.442,29,100,304,188.572,488.099,287.566
Nevada,2002,184670,215631,1379759,24,78,441,127.314,364.012,319.471,28,91,503,153.051,423.759,364.718
New Hampshire,2002,113457,129505,830689,16,58,207,140.253,447.961,249.37,19,65,256,168.226,503.318,308.58
New Jersey,2002,719658,791085,5586200,85,322,1255,118.279,406.681,224.624,98,352,1455,136.501,444.463,260.38
New Mexico,2002,176611,210636,1122984,22,81,260,123.438,384.506,231.938,27,95,316,153.652,452.628,281.426
New York,2002,1562426,2036478,12316861,185,818,3050,118.097,401.675,247.615,200,889,3498,127.821,436.408,283.994
North Carolina,2002,685632,875677,5204654,101,402,1507,147.775,458.865,289.463,123,439,1868,179.678,501.347,358.82
North Dakota,2002,54387,82312,389658,10,35,100,175.323,427.826,257.15,11,41,119,208.779,497.384,304.989
Ohio,2002,987986,1231294,7182193,143,567,2155,145.213,460.277,300.029,171,638,2579,172.683,517.914,359.106
Oklahoma,2002,302673,411137,2120890,45,184,629,149.591,447.124,296.748,53,218,746,175.973,529.603,351.604
Oregon,2002,297076,385140,2261755,34,160,541,112.933,414.863,239.406,43,180,666,144.231,466.34,294.629
Pennsylvania,2002,1028108,1290045,8009346,151,578,2129,147.341,447.779,265.859,172,647,2582,167.494,501.746,322.407
Rhode Island,2002,85295,126228,688500,12,60,174,137.223,476.003,253.351,14,65,202,161.285,514.588,292.877
South Carolina,2002,345629,458404,2574050,42,197,669,122.116,428.814,259.724,54,220,805,155.174,480.562,312.678
South Dakota,2002,69742,90990,459901,14,47,127,197.882,517.574,276.965,16,52,150,228.239,576.95,325.339
Tennessee,2002,473558,621828,3699537,68,241,1034,143.315,388.272,279.522,81,288,1253,171.688,463.02,338.58
Texas,2002,2018953,2512206,12788834,235,984,3208,116.542,391.825,250.875,272,1067,3801,134.548,424.743,297.251
Utah,2002,229447,360378,1222045,15,89,200,65.683,246.08,163.642,19,92,245,84.312,254.586,200.878
Vermont,2002,53924,69851,403822,8,33,93,148.438,475.712,230.295,10,37,115,183.272,526.411,284.898
Virginia,2002,607438,739131,4560096,86,321,1080,141.722,433.759,236.913,94,354,1309,154.004,478.298,286.994
Washington,2002,528622,653701,3825493,57,276,839,108.421,422.286,219.308,70,299,971,132.19,458.073,253.699
West Virginia,2002,139163,194555,1197550,24,93,335,173.399,479.582,279.436,30,106,435,213.435,542.628,362.965
Wisconsin,2002,482686,620505,3425585,74,282,811,153.221,454.807,236.693,84,313,988,173.023,504.131,288.415
Wyoming,2002,45377,59114,310110,6,26,79,127.754,444.558,255.026,7,33,101,163.419,551.839,325.479
Alabama,2003,381563,503783,2834977,51,200,779,134.812,396.331,274.905,67,238,994,174.335,472.788,350.657
Alaska,2003,68492,69578,370098,9,30,91,131.513,426.584,246.34,11,33,106,158.711,478.284,287.057
Arizona,2003,498693,621802,3424675,60,228,841,119.558,366.406,245.571,73,240,969,145.958,386.757,282.873
Arkansas,2003,233184,306999,1703727,33,143,498,142.149,464.561,292.234,41,162,612,173.997,527.845,359.028
California,2003,3209345,3949889,21686129,279,1241,3621,86.938,314.248,166.954,349,1380,4238,108.76,349.357,195.433
Colorado,2003,388793,501011,2828830,51,220,714,131.411,439.539,252.388,67,249,828,173.297,496.077,292.59
Connecticut,2003,295229,336200,2259754,41,139,503,139.631,413.181,222.373,49,155,577,167.462,460.157,255.474
Delaware,2003,67658,90513,522123,9,37,123,130.539,410.004,236.268,10,41,143,153.362,449.379,274.026
District of Columbia,2003,33384,70483,367787,2,22,98,67.113,314.146,265.94,3,25,106,89.747,357.06,288.755
Florida,2003,1376459,1658368,11277251,146,590,2700,106.299,355.712,239.414,170,688,3174,123.377,415.047,281.421
Georgia,2003,763519,967105,5276693,92,346,1378,119.928,357.79,261.216,113,406,1634,148.415,420.175,309.671
Hawaii,2003,100549,121734,791438,9,44,153,89.556,359.844,193.869,12,47,172,123.858,386.069,217.209
Idaho,2003,127839,168848,815805,15,67,169,118.159,399.036,206.719,19,74,206,145.137,440.388,252.746
Illinois,2003,1089901,1400520,7863343,121,612,2075,110.573,437.262,263.918,145,671,2436,133.493,479.312,309.798
Indiana,2003,546518,711380,3816240,69,302,1020,125.863,424.795,267.251,79,343,1218,144.536,481.957,319.188
Iowa,2003,243608,354296,1860596,32,156,479,132.131,440.892,257.512,36,179,563,147,506.389,302.49
Kansas,2003,237856,324390,1655732,35,139,444,148.887,428.96,267.896,41,162,539,173.381,498.929,325.336
Kentucky,2003,336908,453011,2611452,63,221,849,188.23,487.01,325.144,82,254,992,243.006,560.782,379.716
Louisiana,2003,403315,543941,2685275,52,221,767,127.903,406.149,285.571,60,247,880,147.618,453.873,327.681
Maine,2003,109954,134241,875886,15,61,221,138.655,457.344,252.185,17,69,273,153.424,511.332,311.171
Maryland,2003,485901,556047,3492188,51,197,795,105.43,354.958,227.753,59,233,921,121.713,418.657,263.82
Massachusetts,2003,512838,676402,4189790,55,273,850,107.102,403.266,202.818,70,308,1025,137.176,455.082,244.559
Michigan,2003,902553,1108787,6328980,121,490,1710,133.842,441.521,270.232,140,539,2009,154.904,486.272,317.364
Minnesota,2003,442828,587599,3185052,58,275,720,131.678,467.915,226.031,71,295,907,161.374,501.549,284.617
Mississippi,2003,256982,349332,1720516,32,145,476,124.436,415.668,276.403,39,168,580,153.381,481.828,337.027
Missouri,2003,490972,642988,3583670,84,293,1068,171.385,454.963,297.916,100,327,1275,203.29,507.821,355.736
Montana,2003,79960,106615,588167,12,45,145,154.129,424.49,246.233,17,57,189,210.296,530.326,321.993
Nebraska,2003,150669,208757,1065283,21,90,234,136.424,432.083,220.077,24,101,293,161.352,481.728,274.905
Nevada,2003,192336,228424,1437719,21,83,390,110.135,361.575,271.082,26,97,441,134.915,423.571,307.004
New Hampshire,2003,114731,134285,839848,15,55,198,127.329,410.428,236.199,18,65,242,155.806,482.125,287.754
New Jersey,2003,733853,816302,5595385,86,310,1226,117.025,380.154,219.029,103,346,1340,140.126,424.189,239.51
New Mexico,2003,175489,218107,1142829,23,82,258,130.104,377.773,225.807,29,97,315,167.889,442.8,275.789
New York,2003,1571709,2047533,12344264,174,817,2976,110.404,399.055,241.084,196,881,3379,124.926,430.314,273.728
North Carolina,2003,701982,889092,5275688,100,395,1368,141.848,444.646,259.266,121,426,1800,172.03,479.412,341.254
North Dakota,2003,52643,82943,392000,9,36,100,168.212,434.709,256.189,11,41,124,206.885,496.27,316.839
Ohio,2003,983181,1251526,7227097,139,555,2073,141.312,443.208,286.905,166,627,2486,168.552,500.881,343.989
Oklahoma,2003,296942,415680,2144532,46,195,638,156.468,468.82,297.536,55,223,745,185.022,536.814,347.447
Oregon,2003,297247,392447,2296726,35,154,541,116.298,393.018,235.533,44,179,640,147.403,455.66,278.687
Pennsylvania,2003,1034227,1315867,8027780,142,586,2086,137.318,445.272,259.866,164,656,2559,158.489,498.761,318.722
